,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
151,152,14.89146798638618,6.01178441469432,-8.03732521465689,3,-1,(3;-1),Ligação,-0.00790252763,-0.001225146938,0.04593841145,0.03681073688
152,153,4.08836426668695,-0.84887930414896,4.59546754527542,3,-3,(3;-3),Nuclear,-4.593395876,-4.589717251,-3.988827607,-13.17194073
153,154,2.16411895504315,2.76170836849916,8.62491239997558,3,-1,(3;-1),Ligação,-0.684691113,-0.6808890377,0.348590983,-1.016989168
154,155,6.90865636288442,-5.75934749708109,5.33685401451905,3,-3,(3;-3),Nuclear,-4.287760367,-4.278734181,-3.66954276,-12.23603731
155,156,5.39324605248504,-0.94864283818831,8.42818577918556,3,-3,(3;-3),Nuclear,-86356.99949,-86351.78237,-86347.07278,-259055.8546
156,157,12.67528339500518,5.8280613424508,-7.01475774899857,3,-1,(3;-1),Ligação,-0.6326724792,-0.6289561382,0.3673237998,-0.8943048176
157,158,6.16320945048504,2.57982724390789,10.19859951597952,3,-3,(3;-3),Nuclear,-4.550176249,-4.545959777,-3.952442071,-13.0485781
158,159,5.59547808194475,1.97476113354185,8.39038464273439,3,-3,(3;-3),Nuclear,-86028.89924,-86028.35851,-86027.98894,-258085.2467
159,160,26.34286247974136,22.41186116884136,2.88228023563566,3,-1,(3;-1),Ligação,-0.4475369022,-0.2297141763,0.9994853049,0.3222342264
160,161,9.2851375371849,1.84058673743886,6.80239283110759,3,-3,(3;-3),Nuclear,-4.299386941,-4.298367865,-3.702003796,-12.2997586
161,162,7.60992729022533,2.86860520809254,6.52144439458662,3,-3,(3;-3),Nuclear,-86034.03963,-86033.55427,-86033.38498,-258100.9789
162,163,7.96741961219747,4.79678614664211,6.80834953258381,3,-3,(3;-3),Nuclear,-4.375272175,-4.374273431,-3.790628384,-12.54017399
163,164,6.96578573249694,2.58767563791871,4.66532772114927,3,-3,(3;-3),Nuclear,-4.36855691,-4.368349064,-3.783128858,-12.52003483
164,165,21.44311886904816,19.82706835668687,-0.05119096195779,3,-1,(3;-1),Ligação,-0.008420395125,-0.007412045469,0.03389556241,0.01806312181
165,166,3.03300683459857,3.21442540016792,7.82157554867704,3,-3,(3;-3),Nuclear,-86069.66709,-86069.63883,-86069.52578,-258208.8317
166,167,2.48887951595903,2.80591629996872,5.95315578563557,3,-3,(3;-3),Nuclear,-4.377821817,-4.376112205,-3.803472992,-12.55740701
167,168,9.90903171735751,-3.31338642908266,-1.3102211590028,3,-1,(3;-1),Ligação,-1.325882057,-1.247643145,0.9844533643,-1.589071837
168,169,3.18383266053718,5.18115049408307,8.04697143207562,3,-3,(3;-3),Nuclear,-4.351096336,-4.349059088,-3.767512297,-12.46766772
169,170,1.66217361728932,2.51280572542627,9.07612497789871,3,-3,(3;-3),Nuclear,-4.39988706,-4.398521162,-3.822890052,-12.62129827
170,171,16.27428772555565,12.68502727716636,9.76588805741629,3,-1,(3;-1),Ligação,-0.6802951541,-0.5909756526,0.2817985188,-0.9894722879
171,172,14.21457496791239,-5.13481251256548,-4.47300442884681,3,-1,(3;-1),Ligação,-0.728222135,-0.7228943778,0.3601741987,-1.090942314
172,173,6.78790187986349,-3.81535596782498,4.80368012059699,3,-3,(3;-3),Nuclear,-86520.7394,-86517.92335,-86517.58945,-259556.2522
173,174,8.31667287098941,-2.80058221625116,3.36561281560578,3,-3,(3;-3),Nuclear,-387811.0876,-387804.3561,-387782.8705,-1163398.314
174,175,15.243342757189,-3.5847972427085,-4.72737175597822,3,-1,(3;-1),Ligação,-0.9934554688,-0.9698448177,2.157547155,0.1942468683
175,176,10.39349359405359,-2.69097119653478,-2.53223459350478,3,-3,(3;-3),Nuclear,-192071.0086,-192069.2702,-192056.7377,-576197.0166
176,177,13.27297850898819,-0.9011372942164,-3.00009701186391,3,-1,(3;-1),Ligação,-0.7269644277,-0.7067972208,0.3652697575,-1.068491891
177,178,9.52280455878373,-2.39068734998211,-3.62789276064637,3,-1,(3;-1),Ligação,-1.27253421,-1.189038818,0.9289392484,-1.53263378
178,179,23.48139295795862,8.33106827836149,-12.77427935698671,3,1,(3;+1),Anel,-0.002609708223,0.01191587289,0.02216925494,0.03147541961
179,180,10.75522524414654,4.94964667010221,-7.11647760523579,3,-1,(3;-1),Ligação,-0.6371052998,-0.6283686105,0.3603520644,-0.9051218458
180,181,14.85202985852074,5.89363696536338,-8.12002076003595,3,1,(3;+1),Anel,-0.007558045634,0.00131805948,0.04500693265,0.0387669465
181,182,9.79690343705088,-3.46146416558918,-1.01594526499027,3,-3,(3;-3),Nuclear,-4.10091884,-4.066800752,-2.963447982,-11.13116757
182,183,17.31448554725156,0.30652767369453,-12.17536880329588,3,-1,(3;-1),Ligação,-0.4612709483,-0.4253298661,0.3525368907,-0.5340639237
183,184,9.29937226269398,-2.31013475628444,-3.91585298235667,3,-3,(3;-3),Nuclear,-4.252969403,-4.217891127,-3.172276433,-11.64313696
184,185,13.10713474884637,-2.12594238246903,-2.60404086233784,3,-3,(3;-3),Nuclear,-86095.96984,-86094.99455,-86094.54889,-258285.5133
185,186,14.01016063191211,-5.77135884424951,-4.5325094831472,3,-3,(3;-3),Nuclear,-4.33816911,-4.329024357,-3.725012479,-12.39220595
186,187,13.7760845683879,-2.37972366375592,-0.75111376109702,3,-3,(3;-3),Nuclear,-4.369740858,-4.365732982,-3.760436758,-12.4959106
187,188,16.40673996963655,3.82422929974199,-10.04081173268332,3,-1,(3;-1),Ligação,-0.422526465,-0.4196657487,0.3278644755,-0.5143277382
188,189,20.94351441935853,5.45835005093214,-10.70326732753656,3,-1,(3;-1),Ligação,-0.008324507086,-0.00789758522,0.04191371423,0.02569162192
189,190,12.39451036299241,4.12129940640372,-8.38156016087839,3,-1,(3;-1),Ligação,-0.4519446409,-0.3959673713,0.32297978,-0.5249322322
