,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
143,144,4.07730262277585,-0.81905075473385,4.56760565759113,3,-3,(3;-3),Nuclear,-25.00610874,-24.9987685,-23.60007386,-73.6049511
144,145,2.69109514866562,2.95297095278473,6.63890075533075,3,-1,(3;-1),Ligação,-0.7877613734,-0.7863603089,0.4474986,-1.126623082
145,146,16.19369803620278,-0.26468180755203,-6.98331616475636,3,-1,(3;-1),Ligação,-0.003068638252,-0.002704612727,0.01926256849,0.01348931752
146,147,15.51338275039564,1.16849244599629,-13.10892812417372,3,-1,(3;-1),Ligação,-0.8485154006,-0.8195643804,0.4787700587,-1.189309722
147,148,17.54121387975703,19.29973981954818,5.93622356749153,3,-1,(3;-1),Ligação,-0.8328932863,-0.8267353469,0.4918847,-1.167743933
148,149,5.3932732942052,-0.94864239593297,8.4281793618634,3,-3,(3;-3),Nuclear,-746546.2058,-746538.3136,-746528.6923,-2239613.212
149,150,15.05743655596083,-2.43968410805043,-8.09743725694325,3,-1,(3;-1),Ligação,-0.003629170743,-0.002447608259,0.0240008042,0.0179240252
150,151,24.63028300090443,10.34015537117456,-10.97726447767459,3,-1,(3;-1),Ligação,-0.5055069862,-0.4356484635,0.3467290731,-0.5944263766
151,152,2.16914612704412,2.76704510130318,8.61771023693818,3,-1,(3;-1),Ligação,-0.7911258278,-0.7902245604,0.4471890164,-1.134161372
152,153,3.13113123775806,4.46734170659685,7.96472411154443,3,-1,(3;-1),Ligação,-0.798525223,-0.7968797574,0.4543212826,-1.141083698
153,154,4.01417013485717,-1.46517580330701,9.88232698555825,3,-3,(3;-3),Nuclear,-262.0144923,-261.712784,-163.4520369,-687.1793131
154,155,23.45058161485644,8.31071243874284,-12.79659579311877,3,1,(3;+1),Anel,-0.003282320641,0.01136716289,0.02579226758,0.03387710983
155,156,5.59547884587336,1.97476321755573,8.39038380934187,3,-3,(3;-3),Nuclear,-745052.6285,-745051.595,-745050.6209,-2235154.844
156,157,12.39318266950914,4.11812139002359,-8.37768900962812,3,-1,(3;-1),Ligação,-0.5078882695,-0.4558995306,0.3430660467,-0.6207217534
157,158,6.17593520060911,2.59288469111016,10.23738841925869,3,-3,(3;-3),Nuclear,-24.96565278,-24.95710338,-23.57917336,-73.50192952
158,159,7.60992679492581,2.86860425334381,6.52144514153367,3,-3,(3;-3),Nuclear,-745242.6428,-745241.4536,-745241.166,-2235725.262
159,160,29.4398883669208,3.38205064779653,-5.87768387775028,3,-1,(3;-1),Ligação,-2.00025947,-1.954356008,1.144454549,-2.81016093
160,161,9.32332560853793,1.81666788946638,6.80887160990135,3,-3,(3;-3),Nuclear,-24.34289753,-24.3423639,-22.95142327,-71.6366847
161,162,11.98663399247088,-2.36565592442078,-2.58753151661313,3,-1,(3;-1),Ligação,-0.5503210637,-0.5188941072,0.3827056361,-0.6865095348
162,163,7.97614615605609,4.83957238991894,6.81459459374393,3,-3,(3;-3),Nuclear,-24.67499062,-24.67362279,-23.31474925,-72.66336266
163,164,6.95217825998937,2.58121229279402,4.62381072695527,3,-3,(3;-3),Nuclear,-24.65437183,-24.65343258,-23.29314497,-72.60094938
164,165,13.8332284640124,-2.96918390645554,-3.45092267935951,3,-1,(3;-1),Ligação,-0.5461206941,-0.5042316415,0.3802938386,-0.670058497
165,166,3.03301032664263,3.214424137043,7.82157640837225,3,-3,(3;-3),Nuclear,-745405.5875,-745405.2848,-745405.0991,-2236215.971
166,167,2.47683250603682,2.79723119601214,5.91244826245067,3,-3,(3;-3),Nuclear,-24.6936121,-24.69258614,-23.36319495,-72.74939318
167,168,3.18708748574511,5.22486523616779,8.05258307266628,3,-3,(3;-3),Nuclear,-24.59286508,-24.5921311,-23.23890059,-72.42389678
168,169,19.45475620212991,17.85592108914526,5.58665172174537,3,-1,(3;-1),Ligação,-0.5289884495,-0.4906112824,0.3867859147,-0.6328138172
169,170,1.63142525249141,2.49835405151396,9.10314134939007,3,-3,(3;-3),Nuclear,-24.73637454,-24.73397742,-23.39535803,-72.86570999
170,171,6.78789687742013,-3.81535652504788,4.80368329907781,3,-3,(3;-3),Nuclear,-747498.7837,-747492.5718,-747492.1182,-2242483.474
171,172,9.92649925485964,-3.29221689685109,-1.35102535195731,3,-1,(3;-1),Ligação,-1.495114149,-1.409874366,0.814449574,-2.090538941
172,173,8.31668279321425,-2.80057544646977,3.36560396582049,3,-3,(3;-3),Nuclear,-3221241.347,-3221223.139,-3221189.914,-9663654.4
173,174,15.25833282161277,-3.57966472052354,-4.73433071856915,3,-1,(3;-1),Ligação,-1.119743604,-1.052786086,1.696056022,-0.4764736674
174,175,16.30760102408064,12.66643871958321,9.76171593498819,3,-1,(3;-1),Ligação,-0.7522065632,-0.6614711472,0.3643782429,-1.049299468
175,176,26.24964747053341,7.55923329642746,-8.45347453496352,3,1,(3;+1),Anel,-0.0165600864,0.07931860946,0.09020324163,0.1529617647
176,177,24.70435558968367,8.09157688116158,-10.06785557091681,3,-1,(3;-1),Ligação,-0.7101111345,-0.5993645164,0.3392547246,-0.9702209263
177,178,21.69148137604059,17.84590182893141,4.94699921401563,3,-1,(3;-1),Ligação,-0.4817499846,-0.4202655598,0.3417381736,-0.5602773709
178,179,10.39349410089912,-2.69097008481973,-2.5322332892212,3,-3,(3;-3),Nuclear,-1634899.362,-1634895.588,-1634874.585,-4904669.535
