,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
126,127,19.36402354332922,9.56012475049536,18.98985822346053,3,-3,(3;-3),Nuclear,-322357.1054,-322356.8249,-322356.7204,-967070.6507
127,128,12.01889323893648,15.10323126427634,13.76477657821752,3,-1,(3;-1),Ligação,-0.5129599718,-0.3214087611,1.051460632,0.2170918993
128,129,19.80926248205087,10.41828708919752,17.22379163585623,3,-3,(3;-3),Nuclear,-9.348514983,-9.345459448,-8.633775603,-27.32775003
129,130,23.13297773234601,19.75968603248089,4.56082570046012,3,-1,(3;-1),Ligação,-0.468738457,-0.3958425158,0.3292975653,-0.5352834076
130,131,21.39848354966536,19.50231453169363,2.40319829892722,3,1,(3;+1),Anel,-0.006707681316,0.007300426108,0.05207974645,0.05267249125
131,132,20.97869126405962,8.57353759809699,19.68171458898102,3,-3,(3;-3),Nuclear,-9.288581238,-9.287102709,-8.570759961,-27.14644391
132,133,15.80352928949916,12.04506564153449,14.97105905468563,3,-1,(3;-1),Ligação,-1.497788168,-1.444226827,0.8607430716,-2.081271923
133,134,15.69639678847391,16.72673444261231,9.3971379679257,3,1,(3;+1),Anel,-0.001655780415,0.007035209668,0.01046263875,0.01584206801
134,135,15.64693108618611,7.28867339775781,23.20394704387218,3,-3,(3;-3),Nuclear,-323177.8245,-323173.2951,-323173.0415,-969524.161
135,136,13.40383313349349,7.02222305690006,23.78409152036908,3,-3,(3;-3),Nuclear,-1503833.179,-1503816.325,-1503786.574,-4511436.078
136,137,16.9411293063583,8.47037773808193,24.25917371004885,3,-3,(3;-3),Nuclear,-9.137034742,-9.126996009,-8.399768752,-26.6637995
137,138,2.30924613105088,-3.82858481003359,6.33058243399197,3,-3,(3;-3),Nuclear,-735699.1975,-735697.0899,-735678.0865,-2207074.374
138,139,6.86706722307862,-5.14048325718538,5.16782917223169,3,-1,(3;-1),Ligação,-0.8206682433,-0.8108119951,0.5805817224,-1.050898516
139,140,3.64546777821635,-2.91235672852049,6.08442159926419,3,-1,(3;-1),Ligação,-0.5208375162,-0.490526663,0.4114042023,-0.5999599769
140,141,2.01078786602814,-4.28229809439914,8.09811817144024,3,-3,(3;-3),Nuclear,-8.974233613,-8.944692951,-7.791237653,-25.71016422
141,142,4.26049229654908,-1.32676455045272,5.04061654147528,3,-1,(3;-1),Ligação,-0.818158499,-0.8010186325,0.5619542857,-1.057222846
142,143,4.62829222262493,-1.01774845621015,8.839861032318,3,-1,(3;-1),Ligação,-0.2165987156,-0.1794268225,1.252461224,0.8564356861
143,144,1.47941406153615,-4.23434698685318,5.29674826982974,3,-1,(3;-1),Ligação,-1.371450235,-1.284168232,0.8608694739,-1.794748993
144,145,15.92618842685336,2.07558317803885,-8.70731334097218,3,-1,(3;-1),Ligação,-0.7940554684,-0.7897332096,0.5443769437,-1.039411734
