,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
27,28,17.20555089268971,9.69214936219257,15.60430794119731,3,3,(3;+3),Cela,0.001028350499,0.002886368081,0.01199661296,0.01591133154
28,29,7.69202184998935,0.10538764061785,4.42713013843264,3,-1,(3;-1),Ligação,-0.002495877446,-0.00150796557,0.02079208544,0.01678824243
29,30,16.86171056868887,-4.60775936313991,8.23393895345773,3,-1,(3;-1),Ligação,-0.7672492385,-0.7618707632,0.4784166001,-1.050703402
30,31,12.07720087611459,-8.12481196990549,12.77967108717886,3,-3,(3;-3),Nuclear,-8.999471865,-8.969702768,-7.64326734,-25.61244197
31,32,18.85899225929716,10.44017001375417,12.81401689528827,3,-1,(3;-1),Ligação,-0.8644388907,-0.825271474,0.5321454204,-1.157564944
32,33,14.19366169053318,-2.79754595874754,15.7401204432054,3,-1,(3;-1),Ligação,-0.8109459174,-0.8047988646,0.5194568365,-1.096287945
33,34,19.28012579265832,14.04665437251878,7.44051912868035,3,-1,(3;-1),Ligação,-0.001120130294,-0.0003331188953,0.007508815084,0.006055565894
34,35,26.24980726198892,7.55906534472534,-8.45410885429856,3,1,(3;+1),Anel,-0.01601606196,0.07693088906,0.08768743903,0.1486022661
35,36,13.80125997318392,-0.93626839203415,8.7452419769602,3,-1,(3;-1),Ligação,-0.7704178625,-0.7678102402,0.4832771328,-1.05495097
36,37,4.92597600748277,-1.60944155086923,7.1855919555522,3,-1,(3;-1),Ligação,-0.4735682428,-0.4064983273,0.333918937,-0.546147633
37,38,14.57914149171682,0.84708844956192,-5.74320907073311,3,1,(3;+1),Anel,-0.0008258460307,0.001224915988,0.004674137703,0.00507320766
38,39,14.62458929008364,-5.14194666732647,12.89171240190821,3,-3,(3;-3),Nuclear,-322366.3174,-322364.6575,-322363.621,-967094.5959
39,40,14.33628917263611,-3.66236440423236,2.7970638959492,3,-1,(3;-1),Ligação,-6.670594246e-05,-5.97978259e-05,0.0005758591746,0.0004493554063
40,41,14.93821751060583,-0.80233969800508,10.48325071076093,3,-1,(3;-1),Ligação,-0.7653085253,-0.7613674884,0.4757503777,-1.050925636
41,42,11.0985742490899,8.56650851266305,8.33622820884351,3,-1,(3;-1),Ligação,-4.659386457e-06,-4.027457192e-06,5.496211946e-05,4.627527581e-05
42,43,16.9392479260827,8.46887615264511,24.25799089637556,3,-3,(3;-3),Nuclear,-9.126580782,-9.102757371,-8.304626769,-26.53396492
43,44,13.54658834670583,-2.2957008849713,-1.39141535246835,3,-1,(3;-1),Ligação,-0.8167998128,-0.7988481428,0.5091034955,-1.10654446
44,45,15.24579142349205,-5.17986244399043,7.04814065575326,3,-1,(3;-1),Ligação,-0.7755908899,-0.769296524,0.4838685147,-1.061018899
45,46,16.21144141878763,6.57435429327898,22.01802974612285,3,-1,(3;-1),Ligação,-0.5075490826,-0.47480994,0.3648215692,-0.6175374533
46,47,14.99456265767239,-9.12903872800157,13.70497336659562,3,-3,(3;-3),Nuclear,-8.911826595,-8.883728142,-7.519727336,-25.31528207
47,48,18.86921664035853,9.15703892003018,15.21138621149461,3,1,(3;+1),Anel,-0.003751080514,0.007301072119,0.01612783241,0.01967782401
48,49,19.17438664094442,14.27180756050435,7.56901678872094,3,1,(3;+1),Anel,-0.001023029106,0.0003899130282,0.006986401647,0.006353285569
49,50,12.8593377410547,-0.82780362470818,10.60866766280129,3,-1,(3;-1),Ligação,-0.7813810512,-0.7762835638,0.4899838837,-1.067680731
50,51,13.93673092573276,-4.17062520577019,10.17050660059285,3,-3,(3;-3),Nuclear,-322375.2257,-322374.5546,-322373.855,-967123.6354
51,52,9.19808819937034,-3.14517211948654,0.75547812499603,3,-1,(3;-1),Ligação,-0.007957243269,-0.006824844177,0.04707848821,0.03229640076
52,53,6.61709242563451,2.41805424548212,7.43181324615822,3,-1,(3;-1),Ligação,-0.4755530154,-0.4673092805,0.3347887562,-0.6080735397
53,54,18.3923820916673,8.56787293040827,14.44355987023584,3,-1,(3;-1),Ligação,-0.005168861178,-0.004013411635,0.03171355057,0.02253127775
54,55,15.57728658269806,-0.92386031346269,-7.92728789456397,3,1,(3;+1),Anel,-0.001624608387,0.004397998607,0.00828282133,0.01105621155
55,56,15.59389246845939,2.53166390829274,19.65360919790629,3,-1,(3;-1),Ligação,-1.428344099,-1.342879435,0.7542651357,-2.016958398
56,57,12.09286413486157,-4.84505769994606,9.72198652010567,3,-3,(3;-3),Nuclear,-9.463541388,-9.460388394,-8.657994905,-27.58192469
57,58,7.01860484808584,-0.04737646686097,4.56049737984371,3,1,(3;+1),Anel,-0.00154704362,0.003508522947,0.0156346885,0.01759616783
58,59,22.2807129105581,21.1710972041591,0.72389555277695,3,-1,(3;-1),Ligação,-0.009138227458,-0.003298400088,0.04950889677,0.03707226923
59,60,9.55481523507681,-2.39875281645728,-3.59350431994017,3,-1,(3;-1),Ligação,-1.40319789,-1.314067928,0.7890888367,-1.928176981
60,61,15.85175458689582,11.49947819964586,-2.50689491734124,3,-1,(3;-1),Ligação,-4.121807251e-08,-3.802461188e-08,7.632167045e-07,6.839740201e-07
61,62,13.87814892530885,-1.27934474659582,9.97586436048255,3,-3,(3;-3),Nuclear,-322389.3256,-322388.8189,-322388.5819,-967166.7264
62,63,5.9596007735103,2.36404604041746,9.55856638024691,3,-1,(3;-1),Ligação,-0.8057801661,-0.7888152913,0.5005117458,-1.094083712
63,64,15.55656753247024,-0.51765249219057,10.77883835149777,3,-3,(3;-3),Nuclear,-9.374065687,-9.370753042,-8.594910635,-27.33972936
64,65,12.27689044410502,-0.56971670871707,10.96490993427832,3,-3,(3;-3),Nuclear,-9.302677022,-9.297336361,-8.503811028,-27.10382441
65,66,17.8497936944907,11.20036955093967,16.05693775563079,3,-1,(3;-1),Ligação,-0.003363232434,-0.0006340071225,0.02421524024,0.02021800068
66,67,5.45302927809927,0.57773087625203,8.41541242639455,3,-1,(3;-1),Ligação,-0.4604620622,-0.421786322,0.3317557271,-0.5504926571
67,68,14.21515396281306,-5.13866267746377,-4.47347566071691,3,-1,(3;-1),Ligação,-0.8391880967,-0.8257854229,0.5375563432,-1.127417176
68,69,26.56989017701726,15.23231468053425,-4.37993811001799,3,-1,(3;-1),Ligação,-2.61547537e-06,-1.113394034e-06,4.015941464e-05,3.643054524e-05
